rule,tuple,bc,n_points,N_min,N_max,n_att_at_Nmax,d_max_at_Nmax,depth_at_Nmax,attractor_class,coherent_attractor,wall_hadamard,n_recurrent_growth,n_recurrent_kappa,n_recurrent_base,n_recurrent_period,n_recurrent_irregular_kind,n_recurrent_parity_split,n_recurrent_irregular,n_recurrent_resid,n_recurrent_model,n_recurrent_kappa_even,n_recurrent_kappa_odd,n_recurrent_rec_order,n_recurrent_rec_coeffs,n_recurrent_base_exact,n_recurrent_base_name,d_max_growth,d_max_kappa,d_max_base,d_max_period,d_max_irregular_kind,d_max_parity_split,d_max_irregular,d_max_resid,d_max_model,d_max_kappa_even,d_max_kappa_odd,d_max_rec_order,d_max_rec_coeffs,d_max_base_exact,d_max_base_name,max_basin_growth,max_basin_kappa,max_basin_base,max_basin_period,max_basin_irregular_kind,max_basin_parity_split,max_basin_irregular,max_basin_resid,max_basin_model,max_basin_kappa_even,max_basin_kappa_odd,max_basin_rec_order,max_basin_rec_coeffs,max_basin_base_exact,max_basin_base_name,transient_depth_growth,transient_depth_kappa,transient_depth_base,transient_depth_period,transient_depth_irregular_kind,transient_depth_parity_split,transient_depth_irregular,transient_depth_resid,transient_depth_model,transient_depth_kappa_even,transient_depth_kappa_odd,transient_depth_rec_order,transient_depth_rec_coeffs,transient_depth_base_exact,transient_depth_base_name
18,DVVD,obc0,12,6,17,1,1,3,unique-point,,True,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,constant,-2.413966229903785e-17,1.0,1,,False,False,2.220446049250313e-16,M0,-5.006000154191087e-17,-1.5386180959570884e-18,1,1,1.0,
19,VVVD,pbc,11,6,16,1,25889,1,extended,True,True,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6352629548637255,1.8875184083538294,1,,False,False,0.02106199893183747,M2,0.6353539023711932,0.6351037967256564,4,"0,3,0,2",1.887207676120684,$\sqrt{(3+\sqrt{17})/2}$,exponential,0.6931471805599455,2.0000000000000004,1,,False,False,3.481346304133594e-15,M2,0.6931471805599452,0.6931471805599455,1,2,2.0,2,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
19,VVVD,obc0,11,6,16,1,28642,1,extended,,True,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.635084713625878,1.8871820047176555,1,,False,False,0.028259317227983884,M2,0.6350738089974327,0.6351037967256564,4,"0,3,0,2",1.887207676120684,$\sqrt{(3+\sqrt{17})/2}$,exponential,0.6931471805599455,2.0000000000000004,1,,False,False,3.481346304133594e-15,M2,0.6931471805599452,0.6931471805599455,1,2,2.0,2,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
20,IDVD,pbc,12,6,17,9,3790,1,multi-extended,True,False,polynomial,0.06976454477243195,1.072255683323476,1,,False,False,0.11841191165104625,M1,0.06879518028212482,0.08026875212351589,3,"1,1,-1",1.0,,exponential,0.5051024887373194,1.657155351517336,1,,False,False,0.037489367931046,M2,0.5019511397644952,0.5095109570910132,,,,,exponential,0.6464810309728679,1.9088119464747353,1,,False,False,0.08004418208407534,M2,0.6473459472177105,0.6508838087501718,,,,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,
20,IDVD,obc0,12,6,17,10,1,60,multistable,,False,polynomial,0.07617217226805545,1.0791483575837415,1,,False,False,0.03842796035119655,M1,0.0802687521235158,0.06879518028212489,3,"1,1,-1",1.0,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6530904544707598,1.9214698777414356,1,,False,False,0.039499864098772014,M2,0.6507783361952827,0.6545709521225797,,,,,polynomial,0.16485944388324067,1.1792273594440041,1,,False,False,0.03635282062914758,M1,0.1709584207837068,0.1611051341951065,,,,
21,EDVD,pbc,12,6,17,1,25,7,extended,False,False,constant,-2.1850670155047782e-17,1.0,2,,True,False,2.220446049250313e-16,M0,-2.1850670155047782e-17,0.0,1,1,1.0,,polynomial,0.09045118862839667,1.0946680740874282,2,,True,False,0.00020108425068317748,M0,0.0,0.09045118862839667,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,2,,True,False,2.563950248511419e-15,M1,0.3465735902799726,0.6931471805599452,,,,,polynomial,0.09769929128321998,1.1026311644478521,2,,True,False,0.10899272795478133,M1,0.09769929128321998,0.09683404118710899,3,"1,1,-1",1.0,
21,EDVD,obc0,12,6,17,1,1,45,unique-point,,False,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,polynomial,0.14593671704048738,1.1571229595683616,1,,False,False,0.08171950699903681,M1,0.14906393240564064,0.1490639324056407,,,,
22,IVVD,pbc,12,6,17,2,34,15,multi-extended,True,True,constant,-5.006000154191087e-17,1.0,2,,True,False,4.440892098500626e-16,M0,-5.006000154191087e-17,-9.252331660799417e-18,1,1,1.0,,polynomial,0.08765781329950943,1.0916145221398477,2,,True,False,3.6259732146947156e-16,M0,0.0,0.08765781329950943,1,1,1.0,,irregular,,,2,undetermined,True,True,0.0005372524785139532,M1,0.3465735902799726,0.6937945750356227,,,,,polynomial,0.10560629040589326,1.1113842277257275,1,,False,False,0.05938138570253427,M1,0.10786928234316237,0.10786928234316243,3,"1,1,-1",1.0,
22,IVVD,obc0,12,6,17,2,1,16,multistable,,True,constant,-2.2835917240548305e-17,1.0,1,,False,False,1.1102230246251565e-16,M0,-2.1850670155047782e-17,-9.252331660799417e-18,1,1,1.0,,polynomial,0.08765781329950925,1.0916145221398474,2,,True,False,0.0006065527673907149,M0,0.08765781329950925,0.0,2,"2,-1",1.0,,irregular,,,1,undetermined,False,True,0.0010644976890178926,M2,0.6944465655090232,0.6937945750356227,2,"3,-2",2.0,2,polynomial,0.10237482949201983,1.1077986295139426,1,,False,False,0.0012186370654101923,M2,0.10786928234316237,0.09664735979512644,2,"2,-1",1.0,
23,EVVD,pbc,12,6,17,1,34,9,extended,True,True,constant,-2.1850670155047782e-17,1.0,2,,True,False,2.220446049250313e-16,M0,-2.1850670155047782e-17,0.0,1,1,1.0,,polynomial,0.08765781329950943,1.0916145221398477,2,,True,False,3.6259732146947156e-16,M0,0.0,0.08765781329950943,1,1,1.0,,exponential,0.6931471805599452,1.9999999999999998,2,,True,False,2.563950248511419e-15,M1,0.3465735902799726,0.6931471805599452,,,,,polynomial,0.09564965580175379,1.100373486988519,1,,False,False,0.10344665951656985,M1,0.09769929128321998,0.09769929128322005,,,,
23,EVVD,obc0,12,6,17,1,1,9,unique-point,,True,constant,0.0,1.0,1,,False,False,0.0,M0,0.0,0.0,1,1,1.0,,polynomial,0.08765781329950925,1.0916145221398474,2,,True,False,0.0006065527673907149,M0,0.08765781329950925,0.0,2,"2,-1",1.0,,exponential,0.6931471805599452,1.9999999999999998,1,,False,False,3.759489045762708e-15,M2,0.6931471805599452,0.6931471805599452,1,2,2.0,2,polynomial,0.08454929967396085,1.0882264921208387,1,,False,False,0.10335327374876484,M1,0.09769929128321998,0.06717561884595646,,,,
